Mod:Item:MetaData, Localized Name
gregtech:gt.blockores.ub3:83, Osmium Ore
gregtech:gt.blockores.ub3:1083, Osmium Ore
gregtech:gt.blockores.ub3:2083, Osmium Ore
gregtech:gt.blockores.ub3:3083, Osmium Ore
gregtech:gt.blockores.ub3:4083, Osmium Ore
gregtech:gt.blockores.ub3:5083, Osmium Ore
gregtech:gt.blockores.ub3:6083, Osmium Ore
gregtech:gt.blockores.ub3:7083, Osmium Ore
gregtech:gt.blockores.ub3:16083, Small Osmium Ore
gregtech:gt.blockores.ub3:17083, Small Osmium Ore
gregtech:gt.blockores.ub3:18083, Small Osmium Ore
gregtech:gt.blockores.ub3:19083, Small Osmium Ore
gregtech:gt.blockores.ub3:20083, Small Osmium Ore
gregtech:gt.blockores.ub3:21083, Small Osmium Ore
gregtech:gt.blockores.ub3:22083, Small Osmium Ore
gregtech:gt.blockores.ub3:23083, Small Osmium Ore
gregtech:gt.blockores.ub3:84, Iridium Ore
gregtech:gt.blockores.ub3:1084, Iridium Ore
gregtech:gt.blockores.ub3:2084, Iridium Ore
gregtech:gt.blockores.ub3:3084, Iridium Ore
gregtech:gt.blockores.ub3:4084, Iridium Ore
gregtech:gt.blockores.ub3:5084, Iridium Ore
gregtech:gt.blockores.ub3:6084, Iridium Ore
gregtech:gt.blockores.ub3:7084, Iridium Ore
gregtech:gt.blockores.ub3:16084, Small Iridium Ore
gregtech:gt.blockores.ub3:17084, Small Iridium Ore
gregtech:gt.blockores.ub3:18084, Small Iridium Ore
gregtech:gt.blockores.ub3:19084, Small Iridium Ore
gregtech:gt.blockores.ub3:20084, Small Iridium Ore
gregtech:gt.blockores.ub3:21084, Small Iridium Ore
gregtech:gt.blockores.ub3:22084, Small Iridium Ore
gregtech:gt.blockores.ub3:23084, Small Iridium Ore
gregtech:gt.blockores.ub3:85, Platinum Ore
gregtech:gt.blockores.ub3:1085, Platinum Ore
gregtech:gt.blockores.ub3:2085, Platinum Ore
gregtech:gt.blockores.ub3:3085, Platinum Ore
gregtech:gt.blockores.ub3:4085, Platinum Ore
gregtech:gt.blockores.ub3:5085, Platinum Ore
gregtech:gt.blockores.ub3:6085, Platinum Ore
gregtech:gt.blockores.ub3:7085, Platinum Ore
gregtech:gt.blockores.ub3:16085, Small Platinum Ore
gregtech:gt.blockores.ub3:17085, Small Platinum Ore
gregtech:gt.blockores.ub3:18085, Small Platinum Ore
gregtech:gt.blockores.ub3:19085, Small Platinum Ore
gregtech:gt.blockores.ub3:20085, Small Platinum Ore
gregtech:gt.blockores.ub3:21085, Small Platinum Ore
gregtech:gt.blockores.ub3:22085, Small Platinum Ore
gregtech:gt.blockores.ub3:23085, Small Platinum Ore
gregtech:gt.blockores.ub3:86, Gold Ore
gregtech:gt.blockores.ub3:1086, Gold Ore
gregtech:gt.blockores.ub3:2086, Gold Ore
gregtech:gt.blockores.ub3:3086, Gold Ore
gregtech:gt.blockores.ub3:4086, Gold Ore
gregtech:gt.blockores.ub3:5086, Gold Ore
gregtech:gt.blockores.ub3:6086, Gold Ore
gregtech:gt.blockores.ub3:7086, Gold Ore
gregtech:gt.blockores.ub3:16086, Small Gold Ore
gregtech:gt.blockores.ub3:17086, Small Gold Ore
gregtech:gt.blockores.ub3:18086, Small Gold Ore
gregtech:gt.blockores.ub3:19086, Small Gold Ore
gregtech:gt.blockores.ub3:20086, Small Gold Ore
gregtech:gt.blockores.ub3:21086, Small Gold Ore
gregtech:gt.blockores.ub3:22086, Small Gold Ore
gregtech:gt.blockores.ub3:23086, Small Gold Ore
gregtech:gt.blockores.ub3:89, Lead Ore
gregtech:gt.blockores.ub3:1089, Lead Ore
gregtech:gt.blockores.ub3:2089, Lead Ore
gregtech:gt.blockores.ub3:3089, Lead Ore
gregtech:gt.blockores.ub3:4089, Lead Ore
gregtech:gt.blockores.ub3:5089, Lead Ore
gregtech:gt.blockores.ub3:6089, Lead Ore
gregtech:gt.blockores.ub3:7089, Lead Ore
gregtech:gt.blockores.ub3:16089, Small Lead Ore
gregtech:gt.blockores.ub3:17089, Small Lead Ore
gregtech:gt.blockores.ub3:18089, Small Lead Ore
gregtech:gt.blockores.ub3:19089, Small Lead Ore
gregtech:gt.blockores.ub3:20089, Small Lead Ore
gregtech:gt.blockores.ub3:21089, Small Lead Ore
gregtech:gt.blockores.ub3:22089, Small Lead Ore
gregtech:gt.blockores.ub3:23089, Small Lead Ore
gregtech:gt.blockores.ub3:90, Bismuth Ore
gregtech:gt.blockores.ub3:1090, Bismuth Ore
gregtech:gt.blockores.ub3:2090, Bismuth Ore
gregtech:gt.blockores.ub3:3090, Bismuth Ore
gregtech:gt.blockores.ub3:4090, Bismuth Ore
gregtech:gt.blockores.ub3:5090, Bismuth Ore
gregtech:gt.blockores.ub3:6090, Bismuth Ore
gregtech:gt.blockores.ub3:7090, Bismuth Ore
gregtech:gt.blockores.ub3:16090, Small Bismuth Ore
gregtech:gt.blockores.ub3:17090, Small Bismuth Ore
gregtech:gt.blockores.ub3:18090, Small Bismuth Ore
gregtech:gt.blockores.ub3:19090, Small Bismuth Ore
gregtech:gt.blockores.ub3:20090, Small Bismuth Ore
gregtech:gt.blockores.ub3:21090, Small Bismuth Ore
gregtech:gt.blockores.ub3:22090, Small Bismuth Ore
gregtech:gt.blockores.ub3:23090, Small Bismuth Ore
gregtech:gt.blockores.ub3:96, Thorium Ore
gregtech:gt.blockores.ub3:1096, Thorium Ore
gregtech:gt.blockores.ub3:2096, Thorium Ore
gregtech:gt.blockores.ub3:3096, Thorium Ore
gregtech:gt.blockores.ub3:4096, Thorium Ore
gregtech:gt.blockores.ub3:5096, Thorium Ore
gregtech:gt.blockores.ub3:6096, Thorium Ore
gregtech:gt.blockores.ub3:7096, Thorium Ore
gregtech:gt.blockores.ub3:16096, Small Thorium Ore
gregtech:gt.blockores.ub3:17096, Small Thorium Ore
gregtech:gt.blockores.ub3:18096, Small Thorium Ore
gregtech:gt.blockores.ub3:19096, Small Thorium Ore
gregtech:gt.blockores.ub3:20096, Small Thorium Ore
gregtech:gt.blockores.ub3:21096, Small Thorium Ore
gregtech:gt.blockores.ub3:22096, Small Thorium Ore
gregtech:gt.blockores.ub3:23096, Small Thorium Ore
gregtech:gt.blockores.ub3:97, Uranium 235 Ore
gregtech:gt.blockores.ub3:1097, Uranium 235 Ore
gregtech:gt.blockores.ub3:2097, Uranium 235 Ore
gregtech:gt.blockores.ub3:3097, Uranium 235 Ore
gregtech:gt.blockores.ub3:4097, Uranium 235 Ore
gregtech:gt.blockores.ub3:5097, Uranium 235 Ore
gregtech:gt.blockores.ub3:6097, Uranium 235 Ore
gregtech:gt.blockores.ub3:7097, Uranium 235 Ore
gregtech:gt.blockores.ub3:16097, Small Uranium 235 Ore
gregtech:gt.blockores.ub3:17097, Small Uranium 235 Ore
gregtech:gt.blockores.ub3:18097, Small Uranium 235 Ore
gregtech:gt.blockores.ub3:19097, Small Uranium 235 Ore
gregtech:gt.blockores.ub3:20097, Small Uranium 235 Ore
gregtech:gt.blockores.ub3:21097, Small Uranium 235 Ore
gregtech:gt.blockores.ub3:22097, Small Uranium 235 Ore
gregtech:gt.blockores.ub3:23097, Small Uranium 235 Ore
gregtech:gt.blockores.ub3:98, Uranium 238 Ore
gregtech:gt.blockores.ub3:1098, Uranium 238 Ore
gregtech:gt.blockores.ub3:2098, Uranium 238 Ore
gregtech:gt.blockores.ub3:3098, Uranium 238 Ore
gregtech:gt.blockores.ub3:4098, Uranium 238 Ore
gregtech:gt.blockores.ub3:5098, Uranium 238 Ore
gregtech:gt.blockores.ub3:6098, Uranium 238 Ore
gregtech:gt.blockores.ub3:7098, Uranium 238 Ore
gregtech:gt.blockores.ub3:16098, Small Uranium 238 Ore
gregtech:gt.blockores.ub3:17098, Small Uranium 238 Ore
gregtech:gt.blockores.ub3:18098, Small Uranium 238 Ore
gregtech:gt.blockores.ub3:19098, Small Uranium 238 Ore
gregtech:gt.blockores.ub3:20098, Small Uranium 238 Ore
gregtech:gt.blockores.ub3:21098, Small Uranium 238 Ore
gregtech:gt.blockores.ub3:22098, Small Uranium 238 Ore
gregtech:gt.blockores.ub3:23098, Small Uranium 238 Ore
gregtech:gt.blockores.ub3:100, Plutonium 239 Ore
gregtech:gt.blockores.ub3:1100, Plutonium 239 Ore
gregtech:gt.blockores.ub3:2100, Plutonium 239 Ore
gregtech:gt.blockores.ub3:3100, Plutonium 239 Ore
gregtech:gt.blockores.ub3:4100, Plutonium 239 Ore
gregtech:gt.blockores.ub3:5100, Plutonium 239 Ore
gregtech:gt.blockores.ub3:6100, Plutonium 239 Ore
gregtech:gt.blockores.ub3:7100, Plutonium 239 Ore
gregtech:gt.blockores.ub3:16100, Small Plutonium 239 Ore
gregtech:gt.blockores.ub3:17100, Small Plutonium 239 Ore
gregtech:gt.blockores.ub3:18100, Small Plutonium 239 Ore
gregtech:gt.blockores.ub3:19100, Small Plutonium 239 Ore
gregtech:gt.blockores.ub3:20100, Small Plutonium 239 Ore
gregtech:gt.blockores.ub3:21100, Small Plutonium 239 Ore
gregtech:gt.blockores.ub3:22100, Small Plutonium 239 Ore
gregtech:gt.blockores.ub3:23100, Small Plutonium 239 Ore
gregtech:gt.blockores.ub3:324, Naquadah Ore
gregtech:gt.blockores.ub3:1324, Naquadah Ore
gregtech:gt.blockores.ub3:2324, Naquadah Ore
gregtech:gt.blockores.ub3:3324, Naquadah Ore
gregtech:gt.blockores.ub3:4324, Naquadah Ore
gregtech:gt.blockores.ub3:5324, Naquadah Ore
gregtech:gt.blockores.ub3:6324, Naquadah Ore
gregtech:gt.blockores.ub3:7324, Naquadah Ore
gregtech:gt.blockores.ub3:16324, Small Naquadah Ore
gregtech:gt.blockores.ub3:17324, Small Naquadah Ore
gregtech:gt.blockores.ub3:18324, Small Naquadah Ore
gregtech:gt.blockores.ub3:19324, Small Naquadah Ore
gregtech:gt.blockores.ub3:20324, Small Naquadah Ore
gregtech:gt.blockores.ub3:21324, Small Naquadah Ore
gregtech:gt.blockores.ub3:22324, Small Naquadah Ore
gregtech:gt.blockores.ub3:23324, Small Naquadah Ore
gregtech:gt.blockores.ub3:326, Enriched Naquadah Ore
gregtech:gt.blockores.ub3:1326, Enriched Naquadah Ore
gregtech:gt.blockores.ub3:2326, Enriched Naquadah Ore
gregtech:gt.blockores.ub3:3326, Enriched Naquadah Ore
gregtech:gt.blockores.ub3:4326, Enriched Naquadah Ore
gregtech:gt.blockores.ub3:5326, Enriched Naquadah Ore
gregtech:gt.blockores.ub3:6326, Enriched Naquadah Ore
gregtech:gt.blockores.ub3:7326, Enriched Naquadah Ore
gregtech:gt.blockores.ub3:16326, Small Enriched Naquadah Ore
gregtech:gt.blockores.ub3:17326, Small Enriched Naquadah Ore
gregtech:gt.blockores.ub3:18326, Small Enriched Naquadah Ore
gregtech:gt.blockores.ub3:19326, Small Enriched Naquadah Ore
gregtech:gt.blockores.ub3:20326, Small Enriched Naquadah Ore
gregtech:gt.blockores.ub3:21326, Small Enriched Naquadah Ore
gregtech:gt.blockores.ub3:22326, Small Enriched Naquadah Ore
gregtech:gt.blockores.ub3:23326, Small Enriched Naquadah Ore
gregtech:gt.blockores.ub3:327, Naquadria Ore
gregtech:gt.blockores.ub3:1327, Naquadria Ore
gregtech:gt.blockores.ub3:2327, Naquadria Ore
gregtech:gt.blockores.ub3:3327, Naquadria Ore
gregtech:gt.blockores.ub3:4327, Naquadria Ore
gregtech:gt.blockores.ub3:5327, Naquadria Ore
gregtech:gt.blockores.ub3:6327, Naquadria Ore
gregtech:gt.blockores.ub3:7327, Naquadria Ore
gregtech:gt.blockores.ub3:16327, Small Naquadria Ore
gregtech:gt.blockores.ub3:17327, Small Naquadria Ore
gregtech:gt.blockores.ub3:18327, Small Naquadria Ore
gregtech:gt.blockores.ub3:19327, Small Naquadria Ore
gregtech:gt.blockores.ub3:20327, Small Naquadria Ore
gregtech:gt.blockores.ub3:21327, Small Naquadria Ore
gregtech:gt.blockores.ub3:22327, Small Naquadria Ore
gregtech:gt.blockores.ub3:23327, Small Naquadria Ore
gregtech:gt.blockores.ub3:340, Meteoric Iron Ore
gregtech:gt.blockores.ub3:1340, Meteoric Iron Ore
gregtech:gt.blockores.ub3:2340, Meteoric Iron Ore
gregtech:gt.blockores.ub3:3340, Meteoric Iron Ore
gregtech:gt.blockores.ub3:4340, Meteoric Iron Ore
gregtech:gt.blockores.ub3:5340, Meteoric Iron Ore
gregtech:gt.blockores.ub3:6340, Meteoric Iron Ore
gregtech:gt.blockores.ub3:7340, Meteoric Iron Ore
gregtech:gt.blockores.ub3:16340, Small Meteoric Iron Ore
gregtech:gt.blockores.ub3:17340, Small Meteoric Iron Ore
gregtech:gt.blockores.ub3:18340, Small Meteoric Iron Ore
gregtech:gt.blockores.ub3:19340, Small Meteoric Iron Ore
gregtech:gt.blockores.ub3:20340, Small Meteoric Iron Ore
gregtech:gt.blockores.ub3:21340, Small Meteoric Iron Ore
gregtech:gt.blockores.ub3:22340, Small Meteoric Iron Ore
gregtech:gt.blockores.ub3:23340, Small Meteoric Iron Ore
gregtech:gt.blockores.ub3:347, Firestone Ore
gregtech:gt.blockores.ub3:1347, Firestone Ore
gregtech:gt.blockores.ub3:2347, Firestone Ore
gregtech:gt.blockores.ub3:3347, Firestone Ore
gregtech:gt.blockores.ub3:4347, Firestone Ore
gregtech:gt.blockores.ub3:5347, Firestone Ore
gregtech:gt.blockores.ub3:6347, Firestone Ore
gregtech:gt.blockores.ub3:7347, Firestone Ore
gregtech:gt.blockores.ub3:16347, Small Firestone Ore
gregtech:gt.blockores.ub3:17347, Small Firestone Ore
gregtech:gt.blockores.ub3:18347, Small Firestone Ore
gregtech:gt.blockores.ub3:19347, Small Firestone Ore
gregtech:gt.blockores.ub3:20347, Small Firestone Ore
gregtech:gt.blockores.ub3:21347, Small Firestone Ore
gregtech:gt.blockores.ub3:22347, Small Firestone Ore
gregtech:gt.blockores.ub3:23347, Small Firestone Ore
gregtech:gt.blockores.ub3:364, Dark Steel Ore
gregtech:gt.blockores.ub3:1364, Dark Steel Ore
gregtech:gt.blockores.ub3:2364, Dark Steel Ore
gregtech:gt.blockores.ub3:3364, Dark Steel Ore
gregtech:gt.blockores.ub3:4364, Dark Steel Ore
gregtech:gt.blockores.ub3:5364, Dark Steel Ore
gregtech:gt.blockores.ub3:6364, Dark Steel Ore
gregtech:gt.blockores.ub3:7364, Dark Steel Ore
gregtech:gt.blockores.ub3:16364, Small Dark Steel Ore
gregtech:gt.blockores.ub3:17364, Small Dark Steel Ore
gregtech:gt.blockores.ub3:18364, Small Dark Steel Ore
gregtech:gt.blockores.ub3:19364, Small Dark Steel Ore
gregtech:gt.blockores.ub3:20364, Small Dark Steel Ore
gregtech:gt.blockores.ub3:21364, Small Dark Steel Ore
gregtech:gt.blockores.ub3:22364, Small Dark Steel Ore
gregtech:gt.blockores.ub3:23364, Small Dark Steel Ore
gregtech:gt.blockores.ub3:500, Diamond Ore
gregtech:gt.blockores.ub3:1500, Diamond Ore
gregtech:gt.blockores.ub3:2500, Diamond Ore
gregtech:gt.blockores.ub3:3500, Diamond Ore
gregtech:gt.blockores.ub3:4500, Diamond Ore
gregtech:gt.blockores.ub3:5500, Diamond Ore
gregtech:gt.blockores.ub3:6500, Diamond Ore
gregtech:gt.blockores.ub3:7500, Diamond Ore
gregtech:gt.blockores.ub3:16500, Small Diamond Ore
gregtech:gt.blockores.ub3:17500, Small Diamond Ore
gregtech:gt.blockores.ub3:18500, Small Diamond Ore
gregtech:gt.blockores.ub3:19500, Small Diamond Ore
gregtech:gt.blockores.ub3:20500, Small Diamond Ore
gregtech:gt.blockores.ub3:21500, Small Diamond Ore
gregtech:gt.blockores.ub3:22500, Small Diamond Ore
gregtech:gt.blockores.ub3:23500, Small Diamond Ore
gregtech:gt.blockores.ub3:501, Emerald Ore
gregtech:gt.blockores.ub3:1501, Emerald Ore
gregtech:gt.blockores.ub3:2501, Emerald Ore
gregtech:gt.blockores.ub3:3501, Emerald Ore
gregtech:gt.blockores.ub3:4501, Emerald Ore
gregtech:gt.blockores.ub3:5501, Emerald Ore
gregtech:gt.blockores.ub3:6501, Emerald Ore
gregtech:gt.blockores.ub3:7501, Emerald Ore
gregtech:gt.blockores.ub3:16501, Small Emerald Ore
gregtech:gt.blockores.ub3:17501, Small Emerald Ore
gregtech:gt.blockores.ub3:18501, Small Emerald Ore
gregtech:gt.blockores.ub3:19501, Small Emerald Ore
gregtech:gt.blockores.ub3:20501, Small Emerald Ore
gregtech:gt.blockores.ub3:21501, Small Emerald Ore
gregtech:gt.blockores.ub3:22501, Small Emerald Ore
gregtech:gt.blockores.ub3:23501, Small Emerald Ore
gregtech:gt.blockores.ub3:502, Ruby Ore
gregtech:gt.blockores.ub3:1502, Ruby Ore
gregtech:gt.blockores.ub3:2502, Ruby Ore
gregtech:gt.blockores.ub3:3502, Ruby Ore
gregtech:gt.blockores.ub3:4502, Ruby Ore
gregtech:gt.blockores.ub3:5502, Ruby Ore
gregtech:gt.blockores.ub3:6502, Ruby Ore
gregtech:gt.blockores.ub3:7502, Ruby Ore
gregtech:gt.blockores.ub3:16502, Small Ruby Ore
gregtech:gt.blockores.ub3:17502, Small Ruby Ore
gregtech:gt.blockores.ub3:18502, Small Ruby Ore
gregtech:gt.blockores.ub3:19502, Small Ruby Ore
gregtech:gt.blockores.ub3:20502, Small Ruby Ore
gregtech:gt.blockores.ub3:21502, Small Ruby Ore
gregtech:gt.blockores.ub3:22502, Small Ruby Ore
gregtech:gt.blockores.ub3:23502, Small Ruby Ore
gregtech:gt.blockores.ub3:503, Sapphire Ore
gregtech:gt.blockores.ub3:1503, Sapphire Ore
gregtech:gt.blockores.ub3:2503, Sapphire Ore
gregtech:gt.blockores.ub3:3503, Sapphire Ore
gregtech:gt.blockores.ub3:4503, Sapphire Ore
gregtech:gt.blockores.ub3:5503, Sapphire Ore
gregtech:gt.blockores.ub3:6503, Sapphire Ore
gregtech:gt.blockores.ub3:7503, Sapphire Ore
gregtech:gt.blockores.ub3:16503, Small Sapphire Ore
gregtech:gt.blockores.ub3:17503, Small Sapphire Ore
gregtech:gt.blockores.ub3:18503, Small Sapphire Ore
gregtech:gt.blockores.ub3:19503, Small Sapphire Ore
gregtech:gt.blockores.ub3:20503, Small Sapphire Ore
gregtech:gt.blockores.ub3:21503, Small Sapphire Ore
gregtech:gt.blockores.ub3:22503, Small Sapphire Ore
gregtech:gt.blockores.ub3:23503, Small Sapphire Ore
gregtech:gt.blockores.ub3:504, Green Sapphire Ore
gregtech:gt.blockores.ub3:1504, Green Sapphire Ore
gregtech:gt.blockores.ub3:2504, Green Sapphire Ore
gregtech:gt.blockores.ub3:3504, Green Sapphire Ore
gregtech:gt.blockores.ub3:4504, Green Sapphire Ore
gregtech:gt.blockores.ub3:5504, Green Sapphire Ore
gregtech:gt.blockores.ub3:6504, Green Sapphire Ore
gregtech:gt.blockores.ub3:7504, Green Sapphire Ore
gregtech:gt.blockores.ub3:16504, Small Green Sapphire Ore
gregtech:gt.blockores.ub3:17504, Small Green Sapphire Ore
gregtech:gt.blockores.ub3:18504, Small Green Sapphire Ore
gregtech:gt.blockores.ub3:19504, Small Green Sapphire Ore
gregtech:gt.blockores.ub3:20504, Small Green Sapphire Ore
gregtech:gt.blockores.ub3:21504, Small Green Sapphire Ore
gregtech:gt.blockores.ub3:22504, Small Green Sapphire Ore
gregtech:gt.blockores.ub3:23504, Small Green Sapphire Ore
gregtech:gt.blockores.ub3:505, Olivine Ore
gregtech:gt.blockores.ub3:1505, Olivine Ore
gregtech:gt.blockores.ub3:2505, Olivine Ore
gregtech:gt.blockores.ub3:3505, Olivine Ore
gregtech:gt.blockores.ub3:4505, Olivine Ore
gregtech:gt.blockores.ub3:5505, Olivine Ore
gregtech:gt.blockores.ub3:6505, Olivine Ore
gregtech:gt.blockores.ub3:7505, Olivine Ore
gregtech:gt.blockores.ub3:16505, Small Olivine Ore
gregtech:gt.blockores.ub3:17505, Small Olivine Ore
gregtech:gt.blockores.ub3:18505, Small Olivine Ore
gregtech:gt.blockores.ub3:19505, Small Olivine Ore
gregtech:gt.blockores.ub3:20505, Small Olivine Ore
gregtech:gt.blockores.ub3:21505, Small Olivine Ore
gregtech:gt.blockores.ub3:22505, Small Olivine Ore
gregtech:gt.blockores.ub3:23505, Small Olivine Ore
gregtech:gt.blockores.ub3:507, Topaz Ore
gregtech:gt.blockores.ub3:1507, Topaz Ore
gregtech:gt.blockores.ub3:2507, Topaz Ore
gregtech:gt.blockores.ub3:3507, Topaz Ore
gregtech:gt.blockores.ub3:4507, Topaz Ore
gregtech:gt.blockores.ub3:5507, Topaz Ore
gregtech:gt.blockores.ub3:6507, Topaz Ore
gregtech:gt.blockores.ub3:7507, Topaz Ore
gregtech:gt.blockores.ub3:16507, Small Topaz Ore
gregtech:gt.blockores.ub3:17507, Small Topaz Ore
gregtech:gt.blockores.ub3:18507, Small Topaz Ore
gregtech:gt.blockores.ub3:19507, Small Topaz Ore
gregtech:gt.blockores.ub3:20507, Small Topaz Ore
gregtech:gt.blockores.ub3:21507, Small Topaz Ore
gregtech:gt.blockores.ub3:22507, Small Topaz Ore
gregtech:gt.blockores.ub3:23507, Small Topaz Ore
gregtech:gt.blockores.ub3:508, Tanzanite Ore
gregtech:gt.blockores.ub3:1508, Tanzanite Ore
gregtech:gt.blockores.ub3:2508, Tanzanite Ore
gregtech:gt.blockores.ub3:3508, Tanzanite Ore
gregtech:gt.blockores.ub3:4508, Tanzanite Ore
gregtech:gt.blockores.ub3:5508, Tanzanite Ore
gregtech:gt.blockores.ub3:6508, Tanzanite Ore
gregtech:gt.blockores.ub3:7508, Tanzanite Ore
gregtech:gt.blockores.ub3:16508, Small Tanzanite Ore
gregtech:gt.blockores.ub3:17508, Small Tanzanite Ore
gregtech:gt.blockores.ub3:18508, Small Tanzanite Ore
gregtech:gt.blockores.ub3:19508, Small Tanzanite Ore
gregtech:gt.blockores.ub3:20508, Small Tanzanite Ore
gregtech:gt.blockores.ub3:21508, Small Tanzanite Ore
gregtech:gt.blockores.ub3:22508, Small Tanzanite Ore
gregtech:gt.blockores.ub3:23508, Small Tanzanite Ore
gregtech:gt.blockores.ub3:509, Amethyst Ore
gregtech:gt.blockores.ub3:1509, Amethyst Ore
gregtech:gt.blockores.ub3:2509, Amethyst Ore
gregtech:gt.blockores.ub3:3509, Amethyst Ore
gregtech:gt.blockores.ub3:4509, Amethyst Ore
gregtech:gt.blockores.ub3:5509, Amethyst Ore
gregtech:gt.blockores.ub3:6509, Amethyst Ore
gregtech:gt.blockores.ub3:7509, Amethyst Ore
gregtech:gt.blockores.ub3:16509, Small Amethyst Ore
gregtech:gt.blockores.ub3:17509, Small Amethyst Ore
gregtech:gt.blockores.ub3:18509, Small Amethyst Ore
gregtech:gt.blockores.ub3:19509, Small Amethyst Ore
gregtech:gt.blockores.ub3:20509, Small Amethyst Ore
gregtech:gt.blockores.ub3:21509, Small Amethyst Ore
gregtech:gt.blockores.ub3:22509, Small Amethyst Ore
gregtech:gt.blockores.ub3:23509, Small Amethyst Ore
gregtech:gt.blockores.ub3:510, Opal Ore
gregtech:gt.blockores.ub3:1510, Opal Ore
gregtech:gt.blockores.ub3:2510, Opal Ore
gregtech:gt.blockores.ub3:3510, Opal Ore
gregtech:gt.blockores.ub3:4510, Opal Ore
gregtech:gt.blockores.ub3:5510, Opal Ore
gregtech:gt.blockores.ub3:6510, Opal Ore
gregtech:gt.blockores.ub3:7510, Opal Ore
gregtech:gt.blockores.ub3:16510, Small Opal Ore
gregtech:gt.blockores.ub3:17510, Small Opal Ore
gregtech:gt.blockores.ub3:18510, Small Opal Ore
gregtech:gt.blockores.ub3:19510, Small Opal Ore
gregtech:gt.blockores.ub3:20510, Small Opal Ore
gregtech:gt.blockores.ub3:21510, Small Opal Ore
gregtech:gt.blockores.ub3:22510, Small Opal Ore
gregtech:gt.blockores.ub3:23510, Small Opal Ore
gregtech:gt.blockores.ub3:511, Jasper Ore
gregtech:gt.blockores.ub3:1511, Jasper Ore
gregtech:gt.blockores.ub3:2511, Jasper Ore
gregtech:gt.blockores.ub3:3511, Jasper Ore
gregtech:gt.blockores.ub3:4511, Jasper Ore
gregtech:gt.blockores.ub3:5511, Jasper Ore
gregtech:gt.blockores.ub3:6511, Jasper Ore
gregtech:gt.blockores.ub3:7511, Jasper Ore
gregtech:gt.blockores.ub3:16511, Small Jasper Ore
gregtech:gt.blockores.ub3:17511, Small Jasper Ore
gregtech:gt.blockores.ub3:18511, Small Jasper Ore
gregtech:gt.blockores.ub3:19511, Small Jasper Ore
gregtech:gt.blockores.ub3:20511, Small Jasper Ore
gregtech:gt.blockores.ub3:21511, Small Jasper Ore
gregtech:gt.blockores.ub3:22511, Small Jasper Ore
gregtech:gt.blockores.ub3:23511, Small Jasper Ore
gregtech:gt.blockores.ub3:512, Ruby Ore
gregtech:gt.blockores.ub3:1512, Ruby Ore
gregtech:gt.blockores.ub3:2512, Ruby Ore
gregtech:gt.blockores.ub3:3512, Ruby Ore
gregtech:gt.blockores.ub3:4512, Ruby Ore
gregtech:gt.blockores.ub3:5512, Ruby Ore
gregtech:gt.blockores.ub3:6512, Ruby Ore
gregtech:gt.blockores.ub3:7512, Ruby Ore
gregtech:gt.blockores.ub3:16512, Small Ruby Ore
gregtech:gt.blockores.ub3:17512, Small Ruby Ore
gregtech:gt.blockores.ub3:18512, Small Ruby Ore
gregtech:gt.blockores.ub3:19512, Small Ruby Ore
gregtech:gt.blockores.ub3:20512, Small Ruby Ore
gregtech:gt.blockores.ub3:21512, Small Ruby Ore
gregtech:gt.blockores.ub3:22512, Small Ruby Ore
gregtech:gt.blockores.ub3:23512, Small Ruby Ore
gregtech:gt.blockores.ub3:513, Blue Topaz Ore
gregtech:gt.blockores.ub3:1513, Blue Topaz Ore
gregtech:gt.blockores.ub3:2513, Blue Topaz Ore
gregtech:gt.blockores.ub3:3513, Blue Topaz Ore
gregtech:gt.blockores.ub3:4513, Blue Topaz Ore
gregtech:gt.blockores.ub3:5513, Blue Topaz Ore
gregtech:gt.blockores.ub3:6513, Blue Topaz Ore
gregtech:gt.blockores.ub3:7513, Blue Topaz Ore
gregtech:gt.blockores.ub3:16513, Small Blue Topaz Ore
gregtech:gt.blockores.ub3:17513, Small Blue Topaz Ore
gregtech:gt.blockores.ub3:18513, Small Blue Topaz Ore
gregtech:gt.blockores.ub3:19513, Small Blue Topaz Ore
gregtech:gt.blockores.ub3:20513, Small Blue Topaz Ore
gregtech:gt.blockores.ub3:21513, Small Blue Topaz Ore
gregtech:gt.blockores.ub3:22513, Small Blue Topaz Ore
gregtech:gt.blockores.ub3:23513, Small Blue Topaz Ore
gregtech:gt.blockores.ub3:514, Amber Ore
gregtech:gt.blockores.ub3:1514, Amber Ore
gregtech:gt.blockores.ub3:2514, Amber Ore
gregtech:gt.blockores.ub3:3514, Amber Ore
gregtech:gt.blockores.ub3:4514, Amber Ore
gregtech:gt.blockores.ub3:5514, Amber Ore
gregtech:gt.blockores.ub3:6514, Amber Ore
gregtech:gt.blockores.ub3:7514, Amber Ore
gregtech:gt.blockores.ub3:16514, Small Amber Ore
gregtech:gt.blockores.ub3:17514, Small Amber Ore
gregtech:gt.blockores.ub3:18514, Small Amber Ore
gregtech:gt.blockores.ub3:19514, Small Amber Ore
gregtech:gt.blockores.ub3:20514, Small Amber Ore
gregtech:gt.blockores.ub3:21514, Small Amber Ore
gregtech:gt.blockores.ub3:22514, Small Amber Ore
gregtech:gt.blockores.ub3:23514, Small Amber Ore
gregtech:gt.blockores.ub3:516, Certus Quartz Ore
gregtech:gt.blockores.ub3:1516, Certus Quartz Ore
gregtech:gt.blockores.ub3:2516, Certus Quartz Ore
